,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,morning,noon,evening,night
0,Still...,ウラ嵐BEST 1999-2007,ARASHI,2021-07-16,257717,52,2,1,0.736,0.0708,0.867,0.0,0.302,-3.816,0.0286,124.028,4,0.86,0,0,1,0
1,"Love, Maybe","Love, Maybe (A Business Proposal OST Special Track)",MeloMance,2022-02-18,185000,68,8,1,0.402,0.508,0.731,0.0,0.146,-3.529,0.0693,171.594,4,0.631,0,0,1,0
2,"Love, Maybe (Acoustic Ver.)","Love, Maybe (A Business Proposal OST Bonus Track)",KIMSEJEONG,2022-04-05,171680,61,10,1,0.614,0.482,0.513,0.0,0.114,-5.442,0.0291,86.005,4,0.336,0,0,1,0
3,W / X / Y,Memories,Tani Yuuki,2021-12-08,278118,76,2,1,0.628,0.159,0.775,0.0,0.33,-4.479,0.0535,106.382,3,0.674,0,1,2,1
4,バニラ,バニラ,Kyanai,2022-03-09,251050,72,10,1,0.641,0.028,0.698,0.0,0.13,-3.934,0.0307,113.041,4,0.521,0,0,1,1
5,あぁ、もう。,サニーボトル,Saucy Dog,2022-07-06,284335,60,4,1,0.688,0.317,0.61,0.0,0.123,-7.469,0.0311,112.124,4,0.649,0,0,1,1
6,レンズ,レンズ,Lilas Ikuta,2022-06-14,238536,63,2,1,0.539,0.387,0.435,0.0,0.182,-5.455,0.0428,163.986,4,0.334,0,0,1,0
7,ハート,ハート,Aimyon,2021-10-20,271280,64,6,1,0.661,0.543,0.448,0.0,0.0818,-5.761,0.0522,78.114,4,0.299,0,1,1,1
8,愛を伝えたいだとか,青春のエキサイトメント,Aimyon,2017-09-12,235240,65,2,1,0.673,0.0345,0.85,1.14e-05,0.0943,-5.021,0.0337,100.008,4,0.793,0,0,1,1
9,愛とか恋とか,Assort,Novelbright,2022-05-16,232453,72,6,1,0.697,0.698,0.556,0.0,0.0991,-5.089,0.0364,89.987,4,0.404,0,0,1,1
10,シンデレラボーイ,レイジーサンデー,Saucy Dog,2021-08-25,234323,76,9,1,0.596,0.0748,0.735,0.0,0.269,-6.362,0.0332,108.106,4,0.524,0,0,1,1
11,なんでもないや - movie ver.,君の名は。,RADWIMPS,2016-08-24,344053,56,6,1,0.489,0.254,0.461,0.0,0.284,-6.164,0.032,168.126,4,0.487,0,0,1,0
12,なんでもないよ、,なんでもないよ、,Macaroni Empitsu,2021-11-03,218751,66,4,1,0.597,0.278,0.525,0.0,0.0692,-6.039,0.0519,171.561,4,0.589,0,0,2,1
13,逃避行,逃避行,imase,2022-01-30,191689,59,5,1,0.926,0.812,0.383,0.00238,0.254,-7.729,0.0776,134.076,4,0.39,0,1,1,0
14,Have a nice day,Have a nice day,imase,2021-12-19,175693,64,5,1,0.85,0.371,0.591,3.99e-06,0.117,-4.73,0.0386,94.018,4,0.564,0,1,1,0
15,いつか,カントリーロード,Saucy Dog,2017-05-24,274871,70,7,1,0.603,0.0941,0.509,0.0,0.201,-4.535,0.0263,79.989,4,0.445,0,0,1,1
16,結,テイクミー,Saucy Dog,2020-09-02,264840,67,6,1,0.53,0.224,0.661,0.0,0.169,-7.09,0.0408,153.935,4,0.538,0,0,1,1
17,シャッター,壱,Yuuri,2022-01-12,248946,71,5,1,0.606,0.512,0.579,0.0,0.381,-5.582,0.033,149.988,4,0.661,0,0,1,1
18,NIGHT DANCER,NIGHT DANCER,imase,2022-08-19,210948,71,7,0,0.911,0.0945,0.585,0.0,0.134,-8.078,0.0735,117.06,4,0.851,0,0,1,0
19,ビンテージ,Traveler,Official HIGE DANdism,2019-10-09,252565,53,2,1,0.449,0.204,0.819,0.0,0.289,-5.169,0.0513,180.019,4,0.507,0,0,1,0
20,コンタクトケース,サラダデイズ,Saucy Dog,2018-05-23,286493,61,6,1,0.502,0.0301,0.574,0.0,0.161,-7.145,0.0298,77.908,4,0.194,0,0,1,1
21,잘 하고 있어 Grow Up,I am NOT,Stray Kids,2018-03-26,210965,23,7,1,0.544,0.194,0.934,0.0,0.328,-2.701,0.296,173.909,4,0.517,0,0,1,0
22,milk tea,FLY,Shota Shimizu,2017-06-28,263813,49,3,1,0.707,0.533,0.37,9.81e-06,0.117,-8.324,0.0259,89.965,4,0.359,0,0,1,0
23,416,period,Shota Shimizu,2020-11-11,255533,42,8,1,0.744,0.159,0.518,0.0,0.111,-7.019,0.0247,98.004,4,0.42,0,0,1,0
24,未来,エピソード,Gen Hoshino,2011-09-28,198221,37,6,1,0.514,0.613,0.295,6.97e-06,0.0956,-9.858,0.0295,137.955,4,0.255,0,0,1,0
25,ミスユー,YELLOW DANCER,Gen Hoshino,2015-12-02,295000,38,9,1,0.6,0.68,0.344,2.02e-05,0.109,-12.058,0.0462,74.047,3,0.328,0,0,1,0
26,心のEvergreen (Extended Version) -2018 Remastering Ver.-,REUNION -2018 Remastering Ver.-,Sing Like Talking,2018-08-22,380560,3,3,1,0.768,0.0144,0.659,0.000128,0.464,-5.078,0.0272,112.186,4,0.669,0,0,1,0
27,サンキュー・ベイビー,西遊記,Godiego,1978-10-25,116426,23,4,1,0.319,0.922,0.185,2.82e-06,0.212,-15.151,0.03,135.509,3,0.125,0,0,1,0
28,そして僕は途方に暮れる,The LEGEND,Yoshiyuki Osawa,1983,255733,45,0,1,0.875,0.198,0.82,0.000891,0.0806,-8.21,0.0283,120.133,4,0.827,0,0,1,0
29,ブルーバード,ロマンティック街道 / ブルーバード,KIRINJI,2006-06-21,326986,5,7,1,0.52,0.0958,0.603,0.511,0.325,-8.062,0.0243,89.989,4,0.144,0,0,1,0
30,Stay Gold -2018 Remastering Ver.-,REUNION -2018 Remastering Ver.-,Sing Like Talking,2018-08-22,259226,1,0,1,0.407,0.176,0.515,0.000818,0.898,-7.412,0.0291,132.624,4,0.285,0,0,1,0
31,相思相愛,エスカパレード,Official HIGE DANdism,2018-04-11,352127,47,5,1,0.56,0.0342,0.429,0.0,0.0891,-6.259,0.0265,83.008,4,0.417,0,0,1,0
32,Friend Ship,YELLOW DANCER,Gen Hoshino,2015-12-02,282466,48,2,1,0.724,0.0105,0.761,7.35e-06,0.171,-7.478,0.0304,112.056,4,0.548,0,0,1,0
33,スウィートソウル,スウィートソウルep,KIRINJI,2003-03-26,379026,43,6,0,0.54,0.421,0.527,0.0144,0.0633,-9.804,0.0265,172.023,4,0.737,0,0,1,0
34,Drifter,Fine,KIRINJI,2001-08-22,312800,34,5,1,0.566,0.431,0.649,4.02e-05,0.131,-6.529,0.034,81.051,4,0.304,0,0,1,0
35,浪漫飛行,KOMEGUNY,Kome Kome Club,1987,246840,60,11,1,0.708,0.117,0.649,0.00515,0.145,-11.854,0.0312,137.213,4,0.969,0,0,1,0
36,Soul,YELLOW DANCER,Gen Hoshino,2015-12-02,229200,33,10,1,0.665,0.219,0.471,1.95e-05,0.232,-6.511,0.158,82.908,4,0.902,0,0,1,0
37,Snow Men,YELLOW DANCER,Gen Hoshino,2015-12-02,274000,41,9,1,0.843,0.216,0.331,4.6e-06,0.0426,-8.393,0.0516,87.411,4,0.731,0,0,1,0
38,そよ風,そよ風,SHISE,2020-12-26,190909,49,6,1,0.758,0.811,0.365,0.000909,0.12,-8.198,0.0704,77.058,4,0.496,0,1,1,1
39,恋唄,恋唄,Shota Shimizu,2021-05-19,300066,50,8,1,0.613,0.352,0.493,0.000306,0.0788,-8.12,0.0271,140.025,4,0.445,0,0,1,0
40,長い髪,目を閉じれば,FOMARE,2020-07-01,368213,48,0,1,0.43,0.095,0.819,0.0,0.388,-2.906,0.0395,160.145,4,0.441,0,0,1,0
41,大切な人,I believe in you,Takaya Kawasaki,2018-03-14,320342,41,0,1,0.628,0.75,0.274,0.0,0.0925,-4.946,0.0299,134.038,4,0.377,0,0,1,0
42,ナツノオワリ,ENCORE,Shota Shimizu,2014-03-12,306160,55,8,1,0.64,0.108,0.686,0.0,0.284,-6.275,0.0363,84.018,4,0.43,0,0,1,1
43,ETA,M八七,Kenshi Yonezu,2022-05-18,287800,50,0,0,0.448,0.698,0.426,0.0026,0.143,-9.52,0.0858,86.042,4,0.18,0,0,1,0
44,飛燕,BOOTLEG,Kenshi Yonezu,2017-11-01,243333,47,2,1,0.595,0.0252,0.752,0.0,0.336,-4.691,0.0279,132.018,4,0.602,0,1,1,0
45,"ボラーレ! (Nel Blu, Dipinto Di Blu) - Overblow Tour 2012 Live Version",Overblow Tour 2012 Live in Shibuya Club Quattro,Original Love,2012-11-21,224830,2,4,1,0.584,0.0984,0.596,0.0,0.72,-8.755,0.0429,114.655,4,0.781,0,0,1,0
46,猫になりたい,花鳥風月+,SPITZ,2021-09-15,298733,44,4,1,0.612,0.64,0.542,0.000303,0.296,-5.966,0.0245,108.14,4,0.397,0,0,1,0
47,オレンジ,ハグルマ,KANA-BOON,2019-03-06,251320,28,9,1,0.494,0.00243,0.724,2.84e-05,0.0635,-5.01,0.0371,139.991,4,0.627,0,0,1,0
48,LEMONADE,FUTURE,I Don't Like Mondays.,2019-08-21,229213,46,11,1,0.77,0.0302,0.69,0.0,0.0634,-5.418,0.034,124.015,4,0.922,0,0,1,0
49,眼福,YANKEE,Kenshi Yonezu,2014-04-23,264933,45,9,1,0.599,0.22,0.662,0.0,0.33,-4.296,0.0278,126.638,4,0.552,0,0,1,0
50,orion,BOOTLEG,Kenshi Yonezu,2017-11-01,281906,58,8,1,0.702,0.103,0.614,0.0,0.231,-4.93,0.028,104.022,4,0.507,0,0,1,0
51,swim,CAVU,04 Limited Sazabys,2015-04-01,207000,50,9,1,0.457,0.00132,0.944,1.37e-05,0.379,-2.687,0.0782,97.508,4,0.636,0,0,1,0
52,Aoi,sakanaction,sakanaction,2013-03-13,256120,49,3,1,0.474,0.00906,0.858,0.000843,0.105,-3.397,0.039,163.984,4,0.625,0,0,1,0
53,夜空,夜空,音田 雅則,2022-03-15,249317,55,8,1,0.386,0.767,0.331,0.0,0.145,-6.536,0.033,72.88,4,0.368,0,0,1,1
54,ex ダーリン,ex ダーリン,Creep Hyp,2022-04-18,375658,49,9,1,0.73,0.0884,0.469,2.03e-06,0.157,-6.859,0.0293,125.924,4,0.629,0,0,1,0
55,ネイティブダンサー,シンシロ,sakanaction,2009-03-04,264258,50,4,1,0.709,0.0813,0.631,0.00841,0.154,-7.19,0.0339,129.998,4,0.81,0,0,1,0
56,ただ,もうすぐ着くから待っててね,Creep Hyp,2017-02-22,252986,47,5,1,0.637,0.0364,0.948,0.0,0.0869,-3.129,0.0476,113.012,4,0.42,0,0,1,0
57,オレンジ,死ぬまで一生愛されてると思ってたよ,Creep Hyp,2012-04-18,235602,50,10,1,0.566,0.0853,0.805,0.0,0.247,-4.136,0.0611,133.876,4,0.782,0,0,1,0
58,Now Loading…,Now Loading…,椎名かいね,2021-06-02,234000,0,6,1,0.882,0.367,0.569,3.72e-06,0.145,-6.067,0.233,139.982,4,0.575,0,0,1,0
59,summer time,ZERO,LEON,2021-06-30,191250,2,11,1,0.716,0.01,0.804,0.0463,0.128,-3.872,0.0313,108.003,4,0.623,0,0,1,0
60,東京無理心中,Invitations,dramastore,2020-04-15,333647,27,0,1,0.412,0.345,0.681,0.000161,0.464,-6.069,0.0471,176.089,4,0.529,0,0,1,0
61,Take It Easy,Take It Easy,広瀬大地,2020-06-24,211571,7,1,0,0.437,0.113,0.874,3.2e-06,0.116,-4.663,0.0753,203.529,4,0.933,0,0,1,0
62,バイタルサイン,Grow apart,Awesome City Club,2020-04-29,236133,19,8,1,0.772,0.0164,0.664,9.95e-06,0.309,-6.411,0.0396,118.102,4,0.62,0,0,1,0
63,RGTO,The Arrival,AKLO,2014-09-03,208821,49,9,1,0.794,0.259,0.77,0.0,0.172,-4.836,0.0813,102.053,4,0.692,0,0,1,0
64,誰でもないモンスター,誰でもないモンスター,Natsu to Suisei,2020-02-22,168442,14,2,1,0.756,0.367,0.634,0.0,0.2,-7.397,0.043,122.002,4,0.622,0,0,1,0
65,Boom Boom Boom,Boom Boom Boom / Come On Baby,Hiromi Go,2007-05-23,271626,20,1,0,0.689,0.0812,0.905,0.0,0.0942,-4.094,0.0658,97.075,4,0.444,0,0,1,0
66,Voyage voyage,François,Desireless,2001-01-02,266600,71,8,0,0.606,0.246,0.913,0.00696,0.34,-6.039,0.0351,123.58,4,0.838,0,0,1,0
67,ストロボメモリー,ストロボメモリー,Maaya Uchida,2021-04-03,283480,33,1,0,0.629,0.17,0.931,0.0,0.12,-2.578,0.0618,142.007,4,0.757,0,0,1,0
68,あなたのことは全て,あなたのことは全て,Mashiro Shirakami,2020-07-08,274261,18,6,0,0.676,0.147,0.689,4.37e-05,0.0928,-7.25,0.0517,175.97,4,0.786,0,0,1,0
69,Fashion Week,Fashion Week,cry,2021-06-19,155364,0,1,0,0.717,0.00401,0.846,0.0913,0.05,-3.182,0.0329,136.961,4,0.713,0,0,1,0
70,Going Dumb (with Stray Kids),Going Dumb,Alesso,2021-03-19,169506,62,6,0,0.834,0.153,0.651,0.0,0.146,-4.855,0.0595,121.978,4,0.49,0,0,1,0
71,Ghost of You,Ghost of You,(sic)boy,2020-09-30,163832,5,9,1,0.515,0.000497,0.953,1.31e-05,0.103,-3.009,0.174,167.138,4,0.41,0,0,1,0
72,Dancing Boy,BOY,OKAMOTO'S,2019-01-09,366440,0,11,1,0.508,0.000362,0.769,1.58e-05,0.137,-6.114,0.0344,98.036,4,0.397,0,0,1,0
73,金星 - Live At 渋谷公会堂 / 1990,error CD,Susumu Hirasawa,1990,451960,28,5,1,0.328,0.578,0.358,0.116,0.454,-12.541,0.0449,93.059,4,0.203,0,0,1,0
74,comethru,"summer,",Jeremy Zucker,2018-09-28,181613,79,0,1,0.795,0.607,0.178,0.0,0.623,-11.991,0.0574,93.982,4,0.608,0,0,1,0
75,POISON~言いたい事も言えないこんな世の中は~,POISON~言いたいことも言えないこんな世の中は~,Takashi Sorimachi,2009-09-30,242093,52,4,1,0.473,0.018,0.949,0.0113,0.496,-3.682,0.043,138.056,4,0.415,0,0,1,0
76,Caffeine,From DROPOUT,Kiro Akiyama,2020-03-03,243253,60,6,1,0.73,0.00372,0.455,0.0118,0.0649,-5.467,0.0396,133.996,4,0.763,0,0,1,0
77,Rondo,"20,Stop it.",KID FRESINO,2021-01-06,141773,44,9,1,0.654,0.166,0.479,3.04e-05,0.181,-7.489,0.0405,83.072,4,0.469,0,0,1,0
78,夏祭り,IMAGINATION vol.2,Various Artists,2019-11-02,232466,22,1,1,0.65,0.00149,0.95,1.56e-05,0.145,-3.085,0.0565,140.997,4,0.79,0,0,1,0
79,Last Dance,vanitas,(sic)boy,2021-12-08,158343,41,11,1,0.51,0.023,0.773,0.0,0.241,-4.796,0.0504,160.017,4,0.618,0,0,1,1
80,Walking,SPICE,Lot,2021-09-18,150000,4,7,1,0.893,0.731,0.475,5.75e-05,0.0797,-12.026,0.295,98.521,4,0.353,0,0,1,0
81,大丈夫,一つになれないなら、せめて二つだけでいよう,Creep Hyp,2014-12-03,184213,44,8,1,0.596,0.213,0.839,0.0,0.0664,-3.022,0.0364,127.941,4,0.896,0,0,1,0
82,There for You,There for You,Martin Garrix,2017-05-26,221904,70,6,0,0.611,0.124,0.644,0.0,0.124,-7.607,0.0553,105.969,4,0.13,0,0,1,0
83,キョリ感,キョリ感,ハコニワリリィ,2022-04-02,231226,45,5,1,0.672,0.0635,0.837,0.0,0.222,-3.167,0.0313,109.976,4,0.436,0,0,1,0
84,グミ超うめぇ,False Memory Syndrome,ピーナッツくん,2020-06-30,120187,39,0,0,0.796,0.109,0.753,0.0,0.112,-5.746,0.164,150.026,4,0.51,0,0,1,0
85,夕立ち,夕立ち,Swagcky,2022-05-18,171889,32,8,1,0.582,0.301,0.769,0.0,0.363,-6.574,0.0916,180.01,4,0.325,0,0,1,0
86,BANANA,BANANA,CREAM,2019-05-15,177750,55,11,1,0.871,0.593,0.797,0.0,0.0646,-5.216,0.046,99.995,4,0.943,0,0,1,1
87,Feelin' Good,Feelin' Good,Local Campione,2021-06-09,184354,31,11,1,0.744,0.0412,0.804,0.0,0.336,-4.14,0.0381,124.026,4,0.715,0,0,1,0
88,流線形メーデー,流線形メーデー,花譜,2022-07-13,191894,49,8,1,0.583,0.0402,0.845,1.62e-06,0.307,-5.591,0.0395,160.012,4,0.671,0,0,1,0
89,Karma Chameleon,Colour By Numbers,Culture Club,1983-10-01,252760,61,10,1,0.661,0.214,0.552,0.0,0.206,-12.385,0.0337,92.056,4,0.928,0,0,1,0
90,夏の黄金比,シフォン主義,Soutaiseiriron,2008-05-08,220040,33,9,0,0.475,0.306,0.791,0.0014,0.118,-5.581,0.0384,91.475,4,0.563,0,0,1,0
91,眠くない街,CHAOS TAPE,(sic)boy,2020-10-28,100735,50,1,1,0.88,0.109,0.707,0.0,0.28,-5.621,0.0576,101.99,4,0.696,0,0,1,0
92,縁 -ENISHI-,CROSS A LINE,HYPNOSISMIC -D.R.B- (Division All Stars),2022-06-15,285346,41,9,1,0.654,0.24,0.783,0.0,0.0343,-2.591,0.224,87.053,4,0.822,0,0,1,0
93,左右盲,左右盲,ヨルシカ,2022-07-25,267103,66,2,1,0.675,0.446,0.391,0.0,0.37,-7.701,0.0524,151.778,4,0.564,0,0,1,0
94,なんでもないよ、,ハッピーエンドへの期待は,Macaroni Empitsu,2022-01-12,219252,72,4,1,0.598,0.245,0.511,0.0,0.0732,-6.015,0.0423,171.845,4,0.652,0,0,2,1
95,3636,瞳へ落ちるよレコード,Aimyon,2022-08-17,251720,63,10,1,0.579,0.702,0.612,0.00195,0.254,-5.088,0.0266,155.921,4,0.623,0,0,1,0
96,世界の約束(ハウルの動く城),スタジオジブリの歌 -増補盤-,Various Artists,2015-11-25,261959,34,0,1,0.346,0.967,0.171,3.79e-05,0.0967,-12.586,0.0288,106.371,3,0.148,0,0,1,0
97,風のゆくえ,ウタの歌 ONE PIECE FILM RED,Ado,2022-08-09,272466,75,1,0,0.441,0.159,0.717,0.0,0.125,-3.979,0.0359,139.987,4,0.233,0,0,1,0
98,おかえり,Memories,Tani Yuuki,2021-12-08,225828,63,5,1,0.337,0.591,0.775,0.0,0.0687,-4.134,0.0609,167.988,3,0.862,0,0,1,1
99,Love Song,Love Song,Uru,2021-08-05,286413,63,9,1,0.575,0.569,0.583,0.0,0.0894,-4.72,0.0309,137.766,4,0.39,0,0,1,0
100,魔法にかけられて,サニーボトル,Saucy Dog,2022-07-06,259351,63,7,1,0.51,0.563,0.563,2.24e-05,0.12,-7.686,0.0303,164.058,4,0.593,0,0,1,2
101,愛言葉,Memories,Tani Yuuki,2021-12-08,286546,66,0,1,0.602,0.422,0.58,0.0,0.352,-6.029,0.0327,148.079,4,0.323,0,0,1,1
102,コインランドリー,コインランドリー,Kyanai,2021-10-27,249045,56,10,1,0.679,0.368,0.75,0.0,0.08,-4.386,0.029,119.032,4,0.769,0,0,1,0
103,センチメンタル・キス,センチメンタル・キス,汐れいら,2022-05-14,325500,54,6,1,0.706,0.667,0.458,0.0005,0.107,-6.889,0.0305,76.989,4,0.346,0,0,1,0
104,会いたいな,会いたいな,手がクリームパン,2021-12-29,165205,60,4,1,0.549,0.953,0.283,0.0,0.133,-8.183,0.0485,145.767,4,0.467,0,0,1,0
105,会いたくて,会いたくて,Ado,2021-08-12,294542,50,5,1,0.483,0.0906,0.836,0.0,0.363,-2.114,0.0446,159.922,4,0.375,0,0,1,0
106,…恋に落ちたら,…恋に落ちたら,Penthouse,2021-05-08,219925,56,2,1,0.713,0.0582,0.871,0.0,0.228,-5.324,0.0331,106.071,4,0.854,0,0,1,0
107,時の歌(ゲド戦記),スタジオジブリの歌 -増補盤-,Various Artists,2015-11-25,295053,33,11,1,0.301,0.948,0.0809,0.000101,0.278,-16.617,0.0355,124.038,4,0.16,0,0,1,0
108,やさしさに包まれたなら,MISSLIM,Yumi Arai,1974-10-05,191726,60,6,1,0.501,0.394,0.689,3.33e-05,0.0955,-7.087,0.0288,105.538,4,0.616,0,0,1,0
109,いつも何度でも,千と千尋の神隠し サウンドトラック,Joe Hisaishi,2001-07-18,215440,49,5,1,0.477,0.993,0.0424,0.0,0.0802,-19.609,0.0696,123.213,3,0.674,0,0,1,0
110,永遠のあくる日,永遠のあくる日,Ado,2022-03-14,246333,60,9,1,0.556,0.49,0.387,0.0,0.155,-5.883,0.0287,145.013,3,0.259,0,0,1,0
111,アイネクライネ,YANKEE,Kenshi Yonezu,2014-04-23,288013,65,1,1,0.471,0.0384,0.868,0.0,0.297,-2.291,0.0295,173.969,4,0.811,0,0,1,0
112,Pretender - Acoustic Ver,Pretender,Official HIGE DANdism,2019-05-15,223840,37,8,1,0.551,0.177,0.8,1.16e-06,0.075,-6.733,0.033,89.958,4,0.408,0,0,1,0
113,願い,願い,sumika,2019-11-16,314186,46,2,1,0.553,0.0588,0.837,0.0,0.103,-5.343,0.0296,91.004,4,0.74,0,0,1,0
114,君の知らない物語 - from CrosSing,君の知らない物語 - from CrosSing,Kana Hanazawa,2022-06-01,342093,35,9,1,0.485,0.107,0.927,1.41e-05,0.109,-3.525,0.0548,165.043,4,0.462,0,0,1,0
115,はなびら,奥 華子ALL TIME BEST,Hanako Oku,2019-11-13,322586,35,4,1,0.454,0.81,0.387,3.44e-05,0.144,-8.326,0.0267,159.377,4,0.337,0,0,1,0
116,Run BTS,Proof,BTS,2022-06-10,204939,84,8,1,0.724,0.0201,0.818,0.0,0.0358,-3.747,0.168,77.004,4,0.696,0,0,1,0
117,Born Singer,Proof,BTS,2022-06-10,238628,75,8,0,0.602,0.0354,0.841,0.0,0.235,-3.334,0.109,157.937,4,0.684,0,0,1,0
118,That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,2022-04-29,174646,81,4,1,0.905,0.0299,0.962,0.0,0.0272,-3.197,0.0856,129.969,4,0.906,0,0,1,0
119,Arson,Jack In The Box,j-hope,2022-07-15,159761,81,1,1,0.938,0.00813,0.798,7.03e-05,0.146,-3.998,0.103,99.992,4,0.265,0,0,1,0
120,For Youth,Proof,BTS,2022-06-10,264480,78,2,1,0.633,0.434,0.511,0.0,0.248,-5.665,0.0368,116.855,3,0.29,0,0,1,0
121,MANIAC,ODDINARY,Stray Kids,2022-03-18,182757,60,1,1,0.744,0.181,0.8,0.0,0.0746,-2.63,0.266,89.925,4,0.722,0,0,1,1
122,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,154486,93,2,1,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4,0.719,0,0,1,0
123,With you,"Our Blues, Pt. 4 (Original Television Soundtrack)",Jimin,2022-04-24,201905,83,3,1,0.532,0.639,0.426,0.0,0.134,-6.117,0.0288,149.898,3,0.137,0,0,1,0
124,Yet To Come,Proof,BTS,2022-06-10,193593,85,1,1,0.559,0.0432,0.885,0.0,0.333,-4.515,0.189,172.029,4,0.683,0,0,1,0
125,00:00 (Zero O’Clock),MAP OF THE SOUL : 7,BTS,2020-02-21,250295,73,1,1,0.56,0.0806,0.547,0.0,0.11,-6.456,0.0675,157.962,4,0.199,0,0,1,0
126,Stay Alive (Prod. SUGA of BTS),Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,210928,79,2,0,0.512,0.299,0.76,0.0,0.103,-5.889,0.0682,130.096,4,0.495,0,0,1,0
127,Inner Child,MAP OF THE SOUL : 7,BTS,2020-02-21,233265,70,11,1,0.589,0.017,0.696,0.0,0.0808,-7.981,0.0725,134.953,4,0.33,0,0,1,0
128,Louder than bombs,MAP OF THE SOUL : 7,BTS,2020-02-21,217404,72,0,0,0.643,0.0432,0.667,0.0,0.0904,-6.947,0.151,145.999,4,0.478,0,0,1,0
129,Lie,Wings,BTS,2016-10-10,215752,71,6,0,0.541,0.00338,0.779,0.0,0.177,-5.581,0.033,94.069,3,0.501,0,0,1,0
130,Black Swan,MAP OF THE SOUL : 7,BTS,2020-02-21,198260,74,2,0,0.719,0.137,0.757,0.0,0.129,-5.167,0.0849,147.024,4,0.489,0,0,1,0
131,My Time,MAP OF THE SOUL : 7,BTS,2020-02-21,234457,72,0,0,0.674,0.149,0.641,0.0,0.0925,-5.139,0.0339,99.91,4,0.664,0,0,1,0
132,Stigma,Wings,BTS,2016-10-10,216063,68,0,0,0.566,0.148,0.475,0.0,0.139,-5.556,0.089,136.442,4,0.335,0,0,1,0
133,Pied Piper,Love Yourself 承 'Her',BTS,2017-09-18,245620,75,2,0,0.583,0.2,0.712,0.0,0.268,-4.942,0.0326,94.051,4,0.778,0,0,1,0
134,House of Cards - Full Length Edition,The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,226212,70,2,0,0.367,0.336,0.668,0.0,0.147,-4.484,0.052,104.961,4,0.384,0,0,1,0
135,Airplane pt.2,Love Yourself 轉 'Tear',BTS,2018-05-18,218614,72,0,0,0.77,0.0265,0.817,0.000103,0.084,-4.092,0.0339,139.979,4,0.866,0,0,1,0
136,Dis-ease,BE,BTS,2020-11-20,239722,69,8,1,0.731,0.0132,0.845,0.0,0.0782,-5.352,0.132,101.085,4,0.484,0,0,1,0
137,Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,69,5,0,0.707,0.179,0.791,0.0,0.102,-4.483,0.035,106.985,4,0.674,0,0,1,0
138,Your eyes tell,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS,2020-07-14,245146,68,9,0,0.449,0.279,0.491,0.0,0.0654,-6.433,0.029,139.923,4,0.258,0,0,1,0
139,We are Bulletproof : the Eternal,MAP OF THE SOUL : 7,BTS,2020-02-21,261542,71,9,0,0.522,0.224,0.574,0.0,0.108,-5.225,0.0317,84.044,4,0.176,0,0,1,0
140,Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,75,3,1,0.462,0.495,0.339,8.15e-06,0.0893,-7.943,0.025,92.106,4,0.149,0,0,1,0
141,Rain,Dark & Wild,BTS,2014-08-20,264666,62,1,0,0.703,0.031,0.851,0.0,0.354,-4.918,0.144,89.958,4,0.315,0,0,1,0
142,Intro: Singularity,Love Yourself 轉 'Tear',BTS,2018-05-18,196998,69,1,0,0.775,0.56,0.272,0.00278,0.112,-9.126,0.091,103.991,3,0.198,0,0,1,0
143,HOME,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,234177,74,7,0,0.633,0.0144,0.799,0.0,0.194,-4.625,0.0427,142.991,4,0.534,0,0,1,0
144,Paradise,Love Yourself 轉 'Tear',BTS,2018-05-18,211223,68,5,1,0.551,0.214,0.828,0.0,0.0571,-5.523,0.352,139.662,4,0.928,0,0,1,0
145,dimple,Love Yourself 承 'Her',BTS,2017-09-18,196776,73,5,0,0.612,0.14,0.844,0.0,0.289,-4.694,0.0757,134.872,4,0.652,0,0,1,0
146,Interlude : Shadow,MAP OF THE SOUL : 7,BTS,2020-02-21,259821,67,9,0,0.384,0.115,0.798,0.0,0.181,-6.439,0.434,149.854,4,0.146,0,0,1,0
147,Autumn Leaves,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,267150,65,10,0,0.619,0.0135,0.804,0.0,0.127,-3.301,0.0424,104.978,4,0.314,0,0,1,0
148,Best Of Me,Love Yourself 承 'Her',BTS,2017-09-18,227191,69,8,1,0.655,0.0298,0.756,0.0,0.396,-4.388,0.07,121.936,4,0.469,0,1,1,0
149,Whalien 52,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,243222,62,10,0,0.585,0.0992,0.93,2.54e-06,0.345,-2.707,0.241,90.03,4,0.735,0,0,1,0
150,Outro: Love Is Not Over,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,143862,58,2,1,0.719,0.632,0.335,0.0,0.131,-8.085,0.06,105.062,4,0.218,0,0,1,0
