,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,sunny,cloudy,rainy
794,明日はくる (feat. 関口シンゴ),明日はくる (feat. 関口シンゴ),ASOBOiSM,2022-01-12,218768,30,11,1,0.836,0.545,0.646,0.000954,0.411,-5.034,0.0537,86.455,4,0.866,0,1,0
795,レイトショーへと,Into The Time Hole,GLIM SPANKY,2022-08-03,242400,28,11,0,0.686,0.167,0.733,0.0,0.0522,-3.358,0.0593,97.997,4,0.794,0,1,0
796,Nekropolis,Crescent,Tsukuyomi,2021-09-08,222533,34,1,1,0.649,0.0162,0.943,2.33e-05,0.349,-3.032,0.0352,136.039,4,0.959,0,1,0
797,Pale Rain,Pale Rain,imase,2022-04-02,221460,53,6,1,0.7,0.035,0.648,0.000409,0.13,-8.711,0.0722,144.456,4,0.54,0,0,1
798,ダダリオ,ダダリオ,ZOOKARADERU,2022-09-28,288241,54,2,1,0.718,0.0212,0.785,6.94e-05,0.116,-5.916,0.0306,121.969,4,0.333,0,0,1
799,雨宿り,雨宿り,Penthouse,2022-07-20,272655,48,1,1,0.632,0.297,0.443,0.0,0.127,-7.56,0.0439,129.826,3,0.658,0,0,1
800,Ame(A),月の波形 ~Coupling & Unreleased works~,sakanaction,2015-08-05,211493,34,0,1,0.637,0.521,0.454,0.0,0.0542,-5.192,0.0389,133.973,4,0.696,0,0,1
801,雨にぬれても,雨にぬれても,G/amm,2022-07-20,224000,25,0,0,0.583,0.812,0.44,3.79e-06,0.102,-8.625,0.036,88.837,4,0.285,0,0,1
802,真夏の通り雨,Fantome,Hikaru Utada,2016-09-28,338346,45,8,0,0.288,0.797,0.329,0.0,0.121,-11.782,0.0309,145.661,4,0.551,0,0,3
803,ばらの花,TEAM ROCK,Quruli,2001-02-21,301106,50,8,1,0.662,0.014,0.615,0.406,0.58,-6.283,0.0347,125.066,4,0.679,0,0,1
804,Umbrella,artless,WONK,2022-05-11,330428,38,5,1,0.709,0.927,0.16,0.024,0.121,-15.462,0.0379,139.937,4,0.436,0,0,1
805,雨 [feat. (sic)boy],雨 [feat. (sic)boy],AAAMYYY,2022-06-01,381030,37,7,1,0.512,0.0341,0.855,0.0,0.32,-6.762,0.0571,137.974,4,0.415,0,0,1
806,天気雨 -Still Love me- (feat. ひかり),天気雨 -Still Love me- (feat. ひかり),Tokimeki Records,2022-06-22,201355,35,0,1,0.747,0.0437,0.639,0.000121,0.0629,-7.34,0.0288,118.01,4,0.775,0,0,1
807,東京,大衆音楽,PEOPLE 1,2019-12-27,198636,43,8,1,0.686,0.084,0.561,0.000102,0.0625,-9.594,0.0324,127.998,4,0.581,0,0,1
808,雨の日の午後は一人にしないで,雨の日の午後は一人にしないで,HWARYEON,2022-09-28,196864,22,6,0,0.709,0.861,0.368,0.00219,0.0868,-9.224,0.053,99.988,4,0.0384,0,0,1
809,雨,雨,Keishi Tanaka,2022-06-15,267575,34,7,1,0.633,0.206,0.681,0.00272,0.127,-8.33,0.0337,102.055,4,0.676,0,0,1
810,雨の日の道玄坂,雨の日の道玄坂,Jin Dogg,2022-10-05,204258,44,9,1,0.445,0.565,0.403,0.000449,0.0929,-10.312,0.0464,96.971,4,0.598,0,0,1
811,水色と空色,水色と空色,Fumiya Fujii,2022-05-25,281466,32,2,1,0.304,0.429,0.491,0.000659,0.289,-8.299,0.0293,174.748,4,0.216,0,0,1
812,LOUDER,LOUDER,SPiCYSOL,2022-06-08,235700,40,6,0,0.632,0.0664,0.388,0.0,0.292,-9.042,0.0493,91.092,4,0.284,0,0,1
813,Rain,FEEL GOOD,SIRUP,2019-05-29,241946,40,5,0,0.789,0.284,0.655,0.0,0.11,-5.663,0.149,111.986,4,0.799,0,0,2
814,WITH THE RAINBOW,WITH THE RAINBOW,CIRGO GRINCO,2022-06-12,256390,21,10,1,0.597,0.207,0.604,4.24e-06,0.11,-8.214,0.0422,179.997,4,0.7,0,0,1
815,かたつむり,かたつむり,Kiwokuza,2021-05-31,212500,10,6,1,0.75,0.734,0.31,0.0412,0.11,-11.747,0.0301,119.982,4,0.0966,0,0,1
816,雨のビート,雨のビート,sty,2021-06-04,202588,33,9,1,0.63,0.203,0.524,0.0,0.0833,-8.183,0.102,169.961,4,0.718,0,0,1
817,きみと雨,きみと雨,上野大樹,2022-06-29,247565,37,8,1,0.717,0.613,0.686,0.0,0.357,-7.362,0.033,110.992,4,0.695,0,0,1
818,すべからく通り雨,すべからく通り雨,グソクムズ,2021-11-10,220000,19,9,1,0.567,0.0124,0.597,0.0,0.323,-9.937,0.0338,121.11,4,0.604,0,0,1
819,月が涙を流す夜,月が涙を流す夜,Maica_n,2022-10-05,219666,32,7,1,0.533,0.0299,0.856,0.00132,0.0532,-4.979,0.0445,148.996,4,0.677,0,0,1
820,雨のせい、ぜんぶ,雨のせい、ぜんぶ,Zenya,2021-05-26,210000,15,8,1,0.67,0.732,0.506,9.19e-06,0.373,-7.002,0.271,84.878,4,0.338,0,0,1
821,チロルとポルノ,死ぬまで一生愛されてると思ってたよ,Creep Hyp,2012-04-18,218732,47,2,1,0.465,0.00771,0.819,0.0,0.165,-4.435,0.0329,149.976,4,0.828,0,0,1
822,どうせなら雨が良かった,DADABABY,DADARAY,2019-10-02,232933,33,6,0,0.618,0.0437,0.871,0.000418,0.306,-2.471,0.0336,140.019,4,0.701,0,0,1
823,rainy rainy rainy blues,KOE,CHIAKI SATO,2021-09-14,320746,36,9,1,0.764,0.271,0.692,0.0018,0.113,-5.488,0.0321,120.993,4,0.52,0,0,1
824,雨,"Where, Who, What Is Petrolz?",Various Artists,2017-03-22,342026,46,11,0,0.68,0.475,0.417,0.00177,0.103,-7.256,0.0399,77.006,4,0.549,0,0,1
825,雨に唄えば,雨に唄えば,Roomania,2021-06-12,231583,12,0,1,0.646,0.117,0.745,0.0,0.235,-5.11,0.0257,102.005,4,0.738,0,0,1
826,Melody of the rain,Melody of the rain,Ryo Murata,2022-10-12,126857,8,11,0,0.641,0.00559,0.499,0.726,0.106,-7.806,0.0436,140.035,4,0.268,0,0,1
827,ネオンを消して,the youth night,chilldspot,2020-11-25,203846,46,10,1,0.531,0.601,0.424,2.56e-06,0.366,-9.026,0.0955,140.114,4,0.266,0,0,1
828,Ame(B),シンシロ,sakanaction,2009-03-04,216986,31,2,0,0.518,0.000336,0.862,0.0213,0.243,-5.267,0.0446,130.001,4,0.752,0,0,1
829,傘,傘,Shikidrop,2021-10-27,211000,14,0,1,0.767,0.477,0.608,0.0,0.121,-7.72,0.045,94.998,4,0.793,0,0,1
830,雨あがりの夜空に,雨あがりの夜空に / ウタゲの灯,カマタミズキ,2022-03-23,299083,11,5,1,0.545,0.254,0.783,0.0,0.0875,-5.532,0.0546,116.106,4,0.883,0,0,1
831,紫陽花,紫陽花,Kyanai,2022-05-11,174677,54,6,0,0.636,0.102,0.841,0.0,0.0278,-7.224,0.0302,101.996,4,0.885,0,0,1
832,サマーレイン・ダイバー,Tokyo Rendez-Vous,King Gnu,2017-10-20,257265,47,1,1,0.532,0.00219,0.506,0.000772,0.0781,-5.89,0.0309,120.037,4,0.276,0,0,1
833,Rainy Runway,Rainy Runway,KIRINJI,2022-06-22,241680,49,2,1,0.82,0.373,0.557,0.0374,0.16,-7.432,0.0303,106.966,4,0.549,0,0,1
834,雨上がり,電影港湾地区,BOAT,2020-07-08,304000,16,9,1,0.669,0.0176,0.374,5.27e-05,0.308,-13.321,0.0662,123.897,4,0.34,0,0,1
835,Pouring Rain,Pouring Rain,ZIN,2021-04-26,299020,15,9,1,0.479,0.047,0.443,6.91e-06,0.104,-9.239,0.0273,92.959,4,0.193,0,0,1
836,今日も雨,色々,Yoeko Kurahashi,2007-02-21,235057,27,1,1,0.57,0.00318,0.816,0.0118,0.208,-4.728,0.0378,124.017,4,0.715,0,0,1
837,通り雨の夜を抜けて,通り雨の夜を抜けて,MUNO NO MOSES,2020-05-16,204295,17,6,1,0.74,0.0611,0.703,0.0,0.0605,-5.592,0.186,96.038,4,0.849,0,0,1
838,Amefuri no Bambina,Amefuri no Bambina,CHAMELEON LIME WHOOPIEPIE,2021-06-09,255315,23,0,0,0.706,0.0901,0.712,0.0,0.182,-8.59,0.119,94.97,4,0.642,0,0,1
839,Rain,Views of Panorama,Hikaru Arata,2021-07-20,259047,14,2,1,0.322,0.0174,0.484,1.96e-06,0.845,-7.675,0.0357,124.851,4,0.14,0,0,1
840,いつも雨,いつも雨,never young beach,2019-05-01,252900,21,5,1,0.844,0.559,0.424,0.0413,0.107,-13.726,0.0329,110.026,4,0.791,0,0,2
841,Rain,SIRUP EP2,SIRUP,2018-08-01,242433,31,5,0,0.792,0.057,0.571,0.0,0.108,-7.468,0.151,112.033,4,0.726,0,0,2
842,Standby,Standby,Masaki Suda,2022-06-06,262880,42,1,1,0.687,0.915,0.152,0.0,0.11,-11.006,0.0366,76.976,4,0.636,0,0,1
843,RAINY,明日は晴れるよ,HARUKATOMIYUKI,2021-08-25,277744,14,6,1,0.473,0.596,0.69,6.08e-06,0.287,-3.392,0.0324,79.281,4,0.473,0,0,1
844,雨は毛布のように,Fine,KIRINJI,2001-08-22,290760,37,9,0,0.668,0.531,0.836,0.0078,0.119,-4.661,0.0316,127.956,4,0.75,0,0,2
845,雨の街路に夜光蟲,Bremen,Kenshi Yonezu,2015-10-07,229560,38,6,1,0.628,0.0147,0.896,0.000507,0.123,-2.854,0.029,123.024,4,0.858,0,0,1
846,rainy day,rainy day,SG,2022-06-11,227171,45,8,1,0.879,0.423,0.353,0.0,0.108,-8.97,0.319,97.866,4,0.623,0,0,1
847,雨とカプチーノ,雨とカプチーノ,ヨルシカ,2019-08-02,272293,52,6,1,0.485,0.35,0.781,0.000542,0.249,-5.755,0.0531,199.961,4,0.745,0,1,1
848,嘘なき,hope,Macaroni Empitsu,2020-04-01,171484,37,0,1,0.763,0.797,0.242,0.0,0.308,-11.24,0.0493,96.873,4,0.451,0,0,1
849,漂白,青春のエキサイトメント,Aimyon,2017-09-12,291240,46,1,1,0.582,0.0195,0.503,0.0,0.349,-5.939,0.029,82.499,4,0.502,0,0,1
850,umbrella,サママ・フェスティバル!,Mrs. GREEN APPLE,2016-06-15,309893,38,11,1,0.425,0.0422,0.676,0.0,0.088,-2.779,0.0286,151.925,4,0.627,0,0,1
851,迷子犬と雨のビート,迷子犬と雨のビート,ASIAN KUNG-FU GENERATION,2010-05-26,296893,35,0,1,0.452,0.0257,0.848,0.000326,0.135,-3.346,0.0362,121.296,4,0.575,0,0,1
852,雨と花束,サイダーのしくみ,Cidergirl,2016-10-12,320013,23,3,1,0.594,0.301,0.639,1.53e-06,0.0872,-5.851,0.0287,75.981,4,0.0724,0,0,1
853,雨のあと,REVIVAL,KOTORI,2019-10-09,276224,17,5,1,0.672,0.0135,0.522,0.0272,0.0788,-8.151,0.0337,115.018,4,0.155,0,0,1
854,いつも雨,STORY,never young beach,2019-05-08,252900,42,5,1,0.844,0.559,0.424,0.0413,0.107,-13.726,0.0329,110.026,4,0.791,0,0,2
855,drizzle - feat.有明,シティボーイズ・オン・ザ・ラン,Cody・Lee(李),2019-06-12,277946,22,6,1,0.543,0.0329,0.614,3.62e-06,0.0649,-5.468,0.0432,79.994,4,0.672,0,0,1
856,雨が降るなら踊ればいいじゃない,DAILY BOP,Lucky Kilimanjaro,2021-03-31,246863,36,11,1,0.771,0.295,0.633,1.49e-05,0.434,-8.584,0.0957,109.0,4,0.665,0,0,1
857,空,空,Taichi Mukai,2017-10-27,296031,9,4,0,0.509,0.0218,0.803,0.0,0.648,-4.702,0.13,172.233,4,0.604,0,0,1
858,心雨,藍色ミュージック,indigo la End,2016-06-08,290640,35,1,1,0.49,0.0805,0.602,0.0761,0.194,-6.612,0.0349,151.998,4,0.529,0,0,2
859,傘拍子,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,242600,35,1,1,0.47,0.0754,0.627,4.39e-05,0.257,-5.995,0.028,135.971,3,0.42,0,0,1
860,嵐のあとで,車輪の軸,Galileo Galilei,2016-06-15,312413,20,9,1,0.472,0.00382,0.601,0.00284,0.137,-6.573,0.0276,150.007,4,0.386,0,0,1
861,雨は気まぐれ,Night Fishing,sakanaction,2008-01-23,237815,29,2,1,0.743,0.0356,0.752,1.1e-05,0.104,-4.312,0.0743,125.972,4,0.799,0,0,1
862,RAIN,RAIN,SEKAI NO OWARI,2017-06-23,306985,48,8,1,0.526,0.171,0.758,0.0,0.304,-3.732,0.0256,97.954,4,0.482,0,0,4
863,ナラタージュ,ナラタージュ,adieu,2017-08-24,340746,0,9,1,0.636,0.676,0.273,4.16e-06,0.0761,-9.612,0.0349,65.997,4,0.307,0,0,1
864,花傘,濡れゆく私小説,indigo la End,2019-10-09,280552,47,5,0,0.681,0.0788,0.822,0.0,0.367,-4.467,0.0355,125.887,4,0.561,0,0,1
865,スパークル,人間開花,RADWIMPS,2016-11-23,408200,53,11,1,0.433,0.733,0.503,0.0,0.12,-5.919,0.0361,126.664,4,0.228,0,0,1
866,虹,歓声前夜,SUPER BEAVER,2018-06-27,187359,29,2,1,0.387,0.000356,0.97,0.0,0.274,-2.706,0.0751,98.135,4,0.283,0,0,1
867,ハルジオン,jupiter,BUMP OF CHICKEN,2002-02-20,275933,41,1,1,0.271,0.0303,0.969,0.00049,0.301,-2.539,0.0678,180.057,4,0.48,0,0,1
868,色水,thirsty,Oisicle Melonpan,2016-12-07,215066,0,6,0,0.586,0.0122,0.864,0.00203,0.13,-4.685,0.0319,106.298,4,0.95,0,0,1
869,曇りのち,サラダデイズ,Saucy Dog,2018-05-23,226320,48,9,1,0.718,0.386,0.596,0.0,0.114,-6.11,0.0306,103.951,4,0.791,0,0,1
870,雨中のきらめき,PORTAL HEART,LAMP IN TERREN,2014-06-25,263986,10,11,1,0.512,0.0589,0.572,5.87e-05,0.116,-5.75,0.0285,171.996,4,0.729,0,0,1
871,Over the rain~ひかりの橋~,Unreal,flumpool,2008-11-19,278986,37,11,1,0.34,0.00168,0.586,5.57e-06,0.0839,-4.482,0.0308,142.097,4,0.345,0,0,2
872,あしたてんきになれ,to the MOON e.p.,Yogee New Waves,2019-12-04,232770,23,9,1,0.677,0.00204,0.693,0.00268,0.104,-5.188,0.0283,96.979,4,0.949,0,0,1
873,曇り夜空は雨の予報,SHISHAMO 6,SHISHAMO,2020-01-29,333160,22,3,1,0.383,0.115,0.751,0.0,0.264,-3.078,0.0342,171.739,4,0.551,0,0,1
874,青い空,andymori,andymori,2009-02-04,177760,0,3,1,0.61,0.196,0.662,0.000685,0.143,-7.381,0.0277,117.951,4,0.348,0,0,1
875,雨あがり,Can Not Behaved!!,WANIMA,2014,114133,0,6,1,0.44,0.00223,0.879,0.0,0.344,-2.763,0.104,113.757,4,0.808,0,0,2
876,風の日,ELLEGARDEN BEST 1999-2008,ELLEGARDEN,2008-07-02,252453,49,0,1,0.392,0.00543,0.943,0.000266,0.0819,-3.435,0.093,153.984,4,0.24,0,0,1
877,115万キロのフィルム,エスカパレード,Official HIGE DANdism,2018-04-11,324633,72,3,1,0.516,0.00345,0.791,0.0,0.141,-1.927,0.0318,96.921,4,0.48,0,0,1
878,NAO,Confidence,HY,2006-04-12,366773,53,2,1,0.561,0.491,0.422,0.0,0.197,-6.602,0.0292,75.982,4,0.255,0,0,1
879,ドライフラワー,ドライフラワー,Yuuri,2020-10-25,285586,68,7,1,0.463,0.426,0.624,0.0,0.221,-5.118,0.0274,147.929,4,0.521,0,0,1
880,I LOVE YOU,愛すべきものすべてに -YUTAKA OZAKI BEST,Yutaka Ozaki,1983,260626,56,9,1,0.536,0.125,0.357,0.0,0.0739,-8.348,0.0276,149.272,4,0.187,0,0,1
881,Film out,Film out,BTS,2021-04-01,214620,71,10,1,0.499,0.296,0.709,0.0,0.331,-6.404,0.134,164.032,4,0.314,0,0,1
882,silent,silent,SEKAI NO OWARI,2020-10-21,308921,55,0,1,0.43,0.434,0.62,0.0,0.209,-5.274,0.0419,176.14,4,0.424,0,0,1
883,IF YOU,MADE SERIES,BIGBANG,2016-02-03,267920,42,1,1,0.67,0.485,0.45,0.0,0.127,-5.89,0.0291,141.718,4,0.226,0,0,1
884,花束のかわりにメロディーを,PROUD,Shota Shimizu,2016-03-30,309440,0,8,1,0.42,0.0784,0.483,1.05e-05,0.276,-5.345,0.0291,129.808,4,0.277,0,0,2
885,milk tea,FLY,Shota Shimizu,2017-06-28,263813,0,3,1,0.707,0.533,0.37,9.81e-06,0.117,-8.324,0.0259,89.965,4,0.359,0,0,1
886,瞳をとじて,SENTIMENTALovers,Ken Hirai,2004-11-24,343240,57,3,1,0.448,0.607,0.596,0.0,0.0895,-4.976,0.0301,141.352,4,0.33,0,0,1
887,果てなく続くストーリー,KISS IN THE SKY,MISIA,2002-09-26,385533,45,11,1,0.483,0.637,0.413,9.12e-06,0.111,-3.939,0.0256,79.033,4,0.0806,0,0,1
888,家族になろうよ,家族になろうよ/fighting pose,Masaharu Fukuyama,2011-08-31,307813,55,8,1,0.495,0.539,0.422,5.46e-06,0.111,-6.757,0.0314,147.556,4,0.219,0,0,1
889,魔法の絨毯,I believe in you,Takaya Kawasaki,2018-03-14,212018,0,10,0,0.599,0.774,0.309,0.0,0.122,-6.292,0.0507,72.285,4,0.584,0,0,1
890,MAGIC,Dragon Night,SEKAI NO OWARI,2014-10-15,278825,55,7,1,0.364,0.265,0.835,0.00138,0.186,-3.709,0.0404,174.97,4,0.639,0,0,1
891,別の人の彼女になったよ,群青リフレイン,wacci,2018-11-07,304813,0,2,1,0.528,0.0299,0.617,0.0,0.334,-5.07,0.0263,72.023,4,0.497,0,0,1
892,点描の唄,青と夏,Mrs. GREEN APPLE,2018-07-31,307066,73,0,1,0.502,0.447,0.632,0.0,0.103,-4.612,0.0273,152.014,4,0.308,0,0,1
893,足りない,Empathy,wacci,2019-12-04,286786,46,2,1,0.454,0.0229,0.74,0.0,0.109,-4.693,0.0309,140.213,4,0.588,0,0,1
894,虹,虹,Masaki Suda,2020-11-10,258733,62,5,1,0.548,0.071,0.6,0.0,0.192,-5.049,0.0297,143.961,4,0.296,0,0,1
895,糸,糸,Masaki Suda,2020-07-17,202000,0,8,1,0.452,0.457,0.586,0.0,0.159,-4.557,0.0258,144.098,4,0.295,0,0,1
896,裸の心,裸の心,Aimyon,2020-05-01,296653,57,8,1,0.559,0.537,0.448,1.85e-05,0.0915,-4.11,0.0275,148.011,4,0.354,0,0,2
897,HAPPY BIRTHDAY,MAGIC,back number,2019-03-27,258333,66,11,1,0.482,0.0702,0.602,0.0,0.0677,-4.365,0.0303,145.988,4,0.535,0,0,1
898,ツキミソウ,ツキミソウ,Novelbright,2020-12-11,307609,60,6,1,0.481,0.413,0.611,0.0,0.255,-4.248,0.0354,155.788,4,0.436,0,0,2
899,あなたがいることで,あなたがいることで,Uru,2020-02-09,317000,0,7,1,0.511,0.683,0.502,0.0,0.107,-4.953,0.0355,146.604,4,0.254,0,0,1
900,奇跡,10th Anniversary ALL TIME BEST,Che'Nelle,2017-12-04,269680,41,1,0,0.47,0.212,0.56,0.0,0.0992,-3.186,0.0313,77.331,4,0.234,0,0,1
901,First Love,First Love,Hikaru Utada,1999-03-10,257293,0,7,1,0.452,0.147,0.437,0.0,0.149,-8.502,0.0374,179.841,4,0.19,0,0,2
902,雪の華,LOVE,Mika Nakashima,2003-11-06,341973,0,11,1,0.452,0.74,0.293,0.0,0.153,-7.24,0.0283,143.451,4,0.149,0,0,1
903,ただ・・・逢いたくて,EXTREME BEST,EXILE,2016-09-27,351053,51,2,1,0.446,0.221,0.455,2.21e-06,0.208,-6.545,0.0267,138.096,4,0.363,0,0,1
904,キスだけで,キスだけで,Masaki Suda,2019-06-28,227480,29,5,1,0.539,0.795,0.391,0.000398,0.0922,-7.803,0.0281,72.083,4,0.22,0,0,1
905,アイノカタチ,Life is going on and on,MISIA,2018-12-26,262693,62,6,1,0.39,0.0241,0.654,0.0,0.196,-6.247,0.0335,180.043,4,0.304,0,0,2
906,逢いたくていま,JUST BALLADE,MISIA,2009-12-16,358586,0,6,1,0.337,0.359,0.532,0.0,0.0827,-6.296,0.0345,140.257,4,0.336,0,0,1
907,Everything,Super Best Records -15th Celebration-,MISIA,2013-02-20,420920,57,1,1,0.515,0.507,0.579,0.0,0.11,-5.321,0.0334,131.934,4,0.23,0,0,1
908,美女と野獣,美女と野獣 オリジナル・サウンドトラック (日本語版),Various Artists,2017-04-19,199506,0,7,0,0.241,0.896,0.199,0.000326,0.0995,-11.403,0.0341,148.73,3,0.142,0,0,1
909,かごめ(Acoustic ver.),かごめ(Acoustic ver.),Yuuri,2020-08-05,266413,50,6,1,0.648,0.813,0.286,0.0,0.15,-6.17,0.0495,72.352,4,0.273,0,0,1
910,また逢う日まで,Slow & Easy,HIRAIDAI,2015-05-06,255026,59,11,1,0.472,0.776,0.465,0.0,0.168,-6.124,0.0279,78.007,4,0.377,0,0,1
911,I Need U,The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,210577,1,5,0,0.475,0.0184,0.897,0.0,0.296,-2.383,0.0736,78.918,4,0.642,0,0,1
912,みかんハート,CK AND MORE...,C&K,2013-11-27,336840,57,6,1,0.561,0.589,0.358,0.0,0.117,-6.39,0.028,129.029,4,0.204,0,0,1
913,Y,55,C&K,2017-07-25,306133,47,2,1,0.553,0.737,0.358,3.33e-06,0.0957,-7.855,0.0415,135.478,4,0.169,0,0,1
914,そっけない,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,389466,61,0,1,0.626,0.594,0.399,0.0,0.101,-7.304,0.0363,109.916,4,0.184,0,0,1
915,クリスマスソング,シャンデリア,back number,2015-12-09,340080,64,4,1,0.404,0.128,0.705,0.0,0.123,-3.324,0.0315,154.02,4,0.42,0,0,1
916,ハッピーエンド,ハッピーエンド,back number,2016-11-16,314280,56,6,0,0.378,0.0379,0.654,1.93e-06,0.141,-3.327,0.0359,77.907,4,0.334,0,0,1
917,よるのあと,adieu 1,adieu,2019-11-27,291880,54,6,1,0.674,0.519,0.365,1.23e-05,0.136,-8.141,0.0278,144.038,4,0.425,0,0,1
918,10月無口な君を忘れる,10月無口な君を忘れる,あたらよ,2021-03-24,332285,55,5,1,0.262,0.0429,0.47,0.0,0.236,-4.663,0.0433,75.096,4,0.307,0,0,1
919,I LOVE YOU,Song for You,Chris Hart,2014-03-19,311453,52,5,1,0.303,0.579,0.452,0.0,0.0847,-5.877,0.0341,71.409,3,0.253,0,0,1
920,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,229525,82,10,1,0.689,0.369,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4,0.283,0,0,1
921,A Whole New World - Japanese Version,Aladdin (Original Motion Picture Soundtrack/Japanese Version),Various Artists,1992-01-01,160906,43,0,1,0.322,0.784,0.211,0.0,0.109,-14.664,0.0332,125.267,4,0.247,0,0,1
922,星を仰ぐ,星を仰ぐ,Masaki Suda,2021-02-01,293000,54,1,1,0.523,0.034,0.5,0.0,0.105,-4.551,0.0262,78.015,4,0.468,0,0,1
923,きらきら,きらきら,もさを。,2020-09-07,180000,60,11,1,0.688,0.376,0.753,0.0,0.232,-3.681,0.0302,105.016,4,0.622,0,0,1
924,明日への手紙,Ren'dez-vous,Aoi Teshima,2014-07-23,291880,55,9,1,0.519,0.772,0.35,2.65e-05,0.0912,-8.42,0.0249,76.094,4,0.333,0,0,1
925,ピーターパン,ピーターパン,Yuuri,2020-08-09,214586,57,11,0,0.629,0.0357,0.91,0.0,0.11,-3.463,0.0507,111.965,4,0.426,0,0,1
926,恋人失格,失恋スクラップ,Koresawa,2020-01-15,298373,42,8,1,0.611,0.134,0.526,0.0,0.115,-5.802,0.0243,89.035,4,0.309,0,0,1
927,奏(かなで) feat.安果音,これくしょん,kobasolo,2017-09-27,230586,31,3,1,0.636,0.88,0.27,0.0,0.112,-9.301,0.0341,143.885,4,0.518,0,0,1
928,First Dates,INDIGO,SALU,2017-05-24,197096,49,8,1,0.673,0.18,0.737,0.0,0.0948,-4.854,0.0409,174.013,4,0.932,0,0,1
929,また明日,SKYWALK,Novelbright,2018-10-03,242453,50,4,1,0.446,0.106,0.756,0.0,0.0887,-3.362,0.0353,78.731,4,0.507,0,0,1
930,180°,あいことば3,Yamazaru,2016-02-17,259760,49,2,1,0.46,0.126,0.739,0.0,0.147,-3.841,0.0405,163.881,4,0.706,0,0,1
931,My Boo,FLY,Shota Shimizu,2017-06-28,270866,57,2,1,0.72,0.307,0.718,0.000178,0.0846,-4.996,0.0316,153.938,4,0.693,0,0,1
932,君の為のキミノウタ,I believe in you,Takaya Kawasaki,2018-03-14,313877,0,9,1,0.459,0.806,0.3,0.0,0.109,-6.684,0.0328,133.502,4,0.41,0,0,1
933,好きにさせた癖に,好きにさせた癖に,あれくん,2020-09-04,263333,0,7,1,0.559,0.281,0.429,0.0,0.174,-6.41,0.0267,72.037,4,0.31,0,0,1
934,冬が終わる前に,Naturally,Shota Shimizu,2012-03-21,320813,46,0,1,0.626,0.266,0.565,0.0,0.133,-5.953,0.0235,101.96,4,0.498,0,0,1
935,Happiness,シェネル・ワールド,Che'Nelle,2015-02-11,274026,58,9,1,0.603,0.386,0.748,0.0,0.329,-1.559,0.0426,139.911,4,0.511,0,0,1
936,大迷惑星。,大迷惑星。,Nakimushi,2019-09-15,289008,44,7,1,0.583,0.0562,0.364,0.0,0.336,-8.164,0.0267,139.935,4,0.352,0,0,1
937,バラード,ケツノポリス7,Ketsumeishi,2011-03-16,418053,53,3,1,0.526,0.0698,0.708,0.0,0.239,-5.288,0.0305,140.029,4,0.27,0,0,1
938,夜空。,miwa ballad collection 〜graduation〜,miwa,2016-02-03,310493,54,7,0,0.263,0.757,0.667,0.0,0.654,-6.451,0.0476,83.42,4,0.25,0,0,1
939,かくれんぼ,かくれんぼ,Yuuri,2019-12-01,271093,58,9,1,0.671,0.417,0.505,0.0,0.124,-7.575,0.0629,156.019,4,0.311,0,0,1
940,君に贈る歌 ~Song For You,シェネル・ワールド,Che'Nelle,2015-02-11,341680,58,8,1,0.513,0.66,0.51,0.0,0.081,-3.249,0.0261,81.947,4,0.182,0,0,1
941,たばこ,コレカラー,Koresawa,2017-08-09,374600,52,5,1,0.666,0.864,0.322,0.0,0.336,-8.298,0.0314,148.151,4,0.25,0,0,1
942,おぼせ,おぼせ,上野大樹,2020-04-08,305185,44,10,1,0.758,0.962,0.229,0.000368,0.13,-12.342,0.0402,139.902,4,0.451,0,0,1
943,君の太陽,君の太陽,Yamazaru,2020-06-20,231265,49,11,1,0.636,0.404,0.774,0.0,0.144,-2.296,0.0302,94.989,4,0.641,0,0,1
944,冬のプレゼント,冬のプレゼント,もさを。,2020-11-30,302160,46,0,1,0.541,0.0781,0.641,0.0,0.0925,-4.561,0.0253,94.987,4,0.456,0,0,1
945,夜永唄,ラムダに対する見解,KAMI WA SAIKORO WO FURANAI,2019-05-22,270754,55,11,1,0.531,0.525,0.487,0.0,0.0935,-6.744,0.0406,134.9,4,0.521,0,0,1
946,Myra,Myra,Tani Yuuki,2020-07-01,255000,56,0,1,0.683,0.71,0.318,9.05e-05,0.167,-13.335,0.0349,144.027,4,0.587,0,0,1
947,雨と僕の話,MAGIC,back number,2019-03-27,233986,51,7,1,0.395,0.0342,0.625,0.0,0.107,-4.031,0.029,148.08,4,0.388,0,0,1
948,あかるいよるに,MAGIC,back number,2019-03-27,238013,50,2,1,0.578,0.0073,0.701,0.0,0.281,-3.988,0.0336,126.036,4,0.381,0,0,1
949,サクラウサギ,サクラウサギ,Takaya Kawasaki,2021-01-15,318571,52,7,1,0.574,0.805,0.253,0.0,0.086,-11.026,0.0302,139.852,4,0.415,0,0,1
